x1,y1,z1,result
0.0,0.0,0.0,-1.0625
0.0,0.0,0.979591836735,4.12797401323
0.0,0.0,1.95918367347,8.92722670842
0.0,0.0,2.9387755102,13.3367098474
0.0,0.0,3.91836734694,17.3591818263
0.0,0.0,4.89795918367,20.9987063068
0.0,0.0,5.87755102041,24.260641194
0.0,0.0,6.85714285714,27.1516181211
0.0,0.0,7.83673469388,29.6795127323
0.0,0.0,8.81632653061,31.8534061651
0.0,0.0,9.79591836735,33.6835382369
0.0,0.0,10.7755102041,35.1812529247
0.0,0.0,11.7551020408,36.3589367959
0.0,0.0,12.7346938776,37.2299511002
0.0,0.0,13.7142857143,37.8085582654
0.0,0.0,14.693877551,38.1098435606
0.0,0.0,15.6734693878,38.1496326901
0.0,0.0,16.6530612245,37.9444060751
0.0,0.0,17.6326530612,37.5112105532
0.0,0.0,18.612244898,36.8675692001
0.0,0.0,19.5918367347,36.031389936
0.0,0.0,20.5714285714,35.0208735377
0.0,0.0,21.5510204082,33.8544216328
0.0,0.0,22.5306122449,32.5505452054
0.0,0.0,23.5102040816,31.1277740988
0.0,0.0,24.4897959184,29.6045679584
0.0,0.0,25.4693877551,27.9992290214
0.0,0.0,26.4489795918,26.3298171242
0.0,0.0,27.4285714286,24.6140672736
0.0,0.0,28.4081632653,22.8693101045
0.0,0.0,29.387755102,21.1123955284
0.0,0.0,30.3673469388,19.3596198699
0.0,0.0,31.3469387755,17.6266567761
0.0,0.0,32.3265306122,15.9284921835
0.0,0.0,33.306122449,14.2793636256
0.0,0.0,34.2857142857,12.6927041624
0.0,0.0,35.2653061224,11.1810912149
0.0,0.0,36.2448979592,9.7562005847
0.0,0.0,37.2244897959,8.42876593447
0.0,0.0,38.2040816327,7.20854399446
0.0,0.0,39.1836734694,6.10428574688
0.0,0.0,40.1632653061,5.12371381632
0.0,0.0,41.1428571429,4.2735062659
0.0,0.0,42.1224489796,3.55928696023
0.0,0.0,43.1020408163,2.98562261093
0.0,0.0,44.0816326531,2.55602656533
0.0,0.0,45.0612244898,2.27296933775
0.0,0.0,46.0408163265,2.13789581399
0.0,0.0,47.0204081633,2.15124898641
0.0,0.0,48.0,2.3125
0.0,2.65789473684,0.0,-41.8576866777
0.0,2.65789473684,0.979591836735,-36.0916765877
0.0,2.65789473684,1.95918367347,-30.6938225069
0.0,2.65789473684,2.9387755102,-25.6631258969
0.0,2.65789473684,3.91836734694,-20.9973208672
0.0,2.65789473684,4.89795918367,-16.692873861
0.0,2.65789473684,5.87755102041,-12.7449930054
0.0,2.65789473684,6.85714285714,-9.14764698725
0.0,2.65789473684,7.83673469388,-5.89359318694
0.0,2.65789473684,8.81632653061,-2.97441468697
0.0,2.65789473684,9.79591836735,-0.380565664208
0.0,2.65789473684,10.7755102041,1.8985754126
0.0,2.65789473684,11.7551020408,3.87464543222
0.0,2.65789473684,12.7346938776,5.5602298446
0.0,2.65789473684,13.7142857143,6.96879016448
0.0,2.65789473684,14.693877551,8.11458654244
0.0,2.65789473684,15.6734693878,9.01259617694
0.0,2.65789473684,16.6530612245,9.67842833357
0.0,2.65789473684,17.6326530612,10.1282367184
0.0,2.65789473684,18.612244898,10.3786299235
0.0,2.65789473684,19.5918367347,10.4465806259
0.0,2.65789473684,20.5714285714,10.3493341807
0.0,2.65789473684,21.5510204082,10.1043172054
0.0,2.65789473684,22.5306122449,9.72904670486
0.0,2.65789473684,23.5102040816,9.2410402457
0.0,2.65789473684,24.4897959184,8.65772764618
0.0,2.65789473684,25.4693877551,7.99636460836
0.0,2.65789473684,26.4489795918,7.27394868842
0.0,2.65789473684,27.4285714286,6.50713797139
0.0,2.65789473684,28.4081632653,5.71217279392
0.0,2.65789473684,29.387755102,4.90480084099
0.0,2.65789473684,30.3673469388,4.10020592912
0.0,2.65789473684,31.3469387755,3.31294077926
0.0,2.65789473684,32.3265306122,2.55686407652
0.0,2.65789473684,33.306122449,1.84508210907
0.0,2.65789473684,34.2857142857,1.18989527502
0.0,2.65789473684,35.2653061224,0.602749741246
0.0,2.65789473684,36.2448979592,0.0941945313809
0.0,2.65789473684,37.2244897959,-0.326155690171
0.0,2.65789473684,38.2040816327,-0.649651886566
0.0,2.65789473684,39.1836734694,-0.86863573854
0.0,2.65789473684,40.1632653061,-0.976458353726
0.0,2.65789473684,41.1428571429,-0.967492428116
0.0,2.65789473684,42.1224489796,-0.837137736175
0.0,2.65789473684,43.1020408163,-0.581819877253
0.0,2.65789473684,44.0816326531,-0.198982264581
0.0,2.65789473684,45.0612244898,0.312928591335
0.0,2.65789473684,46.0408163265,0.954484382478
0.0,2.65789473684,47.0204081633,1.72530268894
0.0,2.65789473684,48.0,2.62408077646
0.0,5.31578947368,0.0,-87.6820402896
0.0,5.31578947368,0.979591836735,-81.2910942198
0.0,5.31578947368,1.95918367347,-75.238370781
0.0,5.31578947368,2.9387755102,-69.5233705428
0.0,5.31578947368,3.91836734694,-64.1443948386
0.0,5.31578947368,4.89795918367,-59.0985434649
0.0,5.31578947368,5.87755102041,-54.3817218204
0.0,5.31578947368,6.85714285714,-49.9886573853
0.0,5.31578947368,7.83673469388,-45.9129253139
0.0,5.31578947368,8.81632653061,-42.1469827924
0.0,5.31578947368,9.79591836735,-38.6822117099
0.0,5.31578947368,10.7755102041,-35.5089690962
0.0,5.31578947368,11.7551020408,-32.6166447048
0.0,5.31578947368,12.7346938776,-29.9937250591
0.0,5.31578947368,13.7142857143,-27.6278632395
0.0,5.31578947368,14.693877551,-25.5059536588
0.0,5.31578947368,15.6734693878,-23.6142110651
0.0,5.31578947368,16.6530612245,-21.9382530134
0.0,5.31578947368,17.6326530612,-20.4631850597
0.0,5.31578947368,18.612244898,-19.1736879578
0.0,5.31578947368,19.5918367347,-18.0541061693
0.0,5.31578947368,20.5714285714,-17.0885370347
0.0,5.31578947368,21.5510204082,-16.2609199948
0.0,5.31578947368,22.5306122449,-15.5551252908
0.0,5.31578947368,23.5102040816,-14.9550416157
0.0,5.31578947368,24.4897959184,-14.4446622268
0.0,5.31578947368,25.4693877551,-14.0081690652
0.0,5.31578947368,26.4489795918,-13.6300144611
0.0,5.31578947368,27.4285714286,-13.2950000323
0.0,5.31578947368,28.4081632653,-12.9883524041
0.0,5.31578947368,29.387755102,-12.6957954013
0.0,5.31578947368,30.3673469388,-12.4036183753
0.0,5.31578947368,31.3469387755,-12.098740345
0.0,5.31578947368,32.3265306122,-11.7687696353
0.0,5.31578947368,33.306122449,-11.4020587131
0.0,5.31578947368,34.2857142857,-10.9877539238
0.0,5.31578947368,35.2653061224,-10.5158398468
0.0,5.31578947368,36.2448979592,-9.97717799935
0.0,5.31578947368,37.2244897959,-9.36353963883
0.0,5.31578947368,38.2040816327,-8.66763243412
0.0,5.31578947368,39.1836734694,-7.88312080715
0.0,5.31578947368,40.1632653061,-7.00463978098
0.0,5.31578947368,41.1428571429,-6.02780221386
0.0,5.31578947368,42.1224489796,-4.9491993483
0.0,5.31578947368,43.1020408163,-3.7663946613
0.0,5.31578947368,44.0816326531,-2.4779110647
0.0,5.31578947368,45.0612244898,-1.08321157275
0.0,5.31578947368,46.0408163265,0.417326373915
0.0,5.31578947368,47.0204081633,2.02244266469
0.0,5.31578947368,48.0,3.73003201809
0.0,7.97368421053,0.0,-138.509413549
0.0,7.97368421053,0.979591836735,-131.446851413
0.0,7.97368421053,1.95918367347,-124.685474585
0.0,7.97368421053,2.9387755102,-118.225323813
0.0,7.97368421053,3.91836734694,-112.065339969
0.0,7.97368421053,4.89795918367,-106.203359463
0.0,7.97368421053,5.87755102041,-100.636118614
0.0,7.97368421053,6.85714285714,-95.3592669124
0.0,7.97368421053,7.83673469388,-90.3673890277
0.0,7.97368421053,8.81632653061,-85.6540352634
0.0,7.97368421053,9.79591836735,-81.2117600658
0.0,7.97368421053,10.7755102041,-77.0321681066
0.0,7.97368421053,11.7551020408,-73.1059673723
