MCP9808_temp	DHT22_hum	DHT22_temp
23.8750	34.10	22.80
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
25.0625	32.60	22.90
