date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DMCP9808_temp4	DMCP9808_temp5	DMCP9808_temp6	DMCP9808_temp7	DMCP9808_temp8	DHT22_hum	DHT22_temp
14:December:2016:17:34:25	6.6875	20.1250	0.8750	33.6250	10.0000	26.8125	2.6875	16.7500	58.40	-4.40
14:December:2016:17:34:56	6.8750	20.1250	0.9375	33.7500	10.0625	26.8750	2.6875	16.7500	58.40	-4.40
14:December:2016:17:35:27	7.0000	20.0625	0.8750	33.7500	10.0000	26.7500	2.6250	16.6875	54.00	-4.40
14:December:2016:17:35:58	7.1875	19.9375	0.9375	33.8125	10.0000	26.6250	2.6250	16.8125	57.20	-4.40
14:December:2016:17:36:29	7.2500	19.9375	0.8750	33.8750	10.0000	26.5625	2.6250	16.9375	56.60	-4.30
14:December:2016:17:37:00	7.3125	20.0000	0.8750	33.8750	10.0625	26.3750	2.5625	16.8750	58.90	-4.30
14:December:2016:17:37:31	7.1875	19.8750	0.8750	33.9375	10.0625	26.1875	2.5625	16.7500	58.80	-4.30
14:December:2016:17:38:02	7.0000	19.8125	0.8750	33.9375	10.0000	26.1250	2.5625	16.7500	57.60	-4.30
14:December:2016:17:38:33	6.9375	19.8125	0.8750	33.9375	10.0000	26.1875	2.5625	16.6875	57.20	-4.20
14:December:2016:17:39:04	6.8750	19.7500	0.8750	34.0000	10.0000	26.1250	2.5625	16.6875	53.40	-4.40
14:December:2016:17:39:35	6.7500	19.8125	0.8125	33.9375	10.0000	26.1250	2.5625	16.6875	55.30	-4.20
14:December:2016:17:40:06	6.5000	19.9375	0.8125	33.9375	10.0000	26.3750	2.4375	16.6875	52.40	-4.20
14:December:2016:17:40:37	6.3750	20.0000	0.8125	33.9375	10.0000	26.3750	2.5000	16.6875	56.80	-4.20
14:December:2016:17:41:08	6.3125	20.1250	0.8750	33.9375	10.0625	26.3750	2.5000	16.7500	59.00	-4.10
14:December:2016:17:41:40	6.2500	20.0000	0.8125	33.9375	10.0000	26.4375	2.5000	16.8750	58.90	-4.10
