date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DHT22_hum	DHT22_temp
03:July:2016:18:08:53	27.6250	27.5625	27.8750	38.30	28.40
03:July:2016:18:09:24	27.6250	27.5625	27.8750	38.30	28.40
03:July:2016:18:09:55	27.6250	27.5000	27.8750	38.40	28.40
03:July:2016:18:10:26	27.6250	27.5000	27.8125	38.40	28.40
03:July:2016:18:10:57	27.6875	27.5000	27.8750	38.30	28.40
03:July:2016:18:11:28	27.6875	27.5625	27.8750	38.30	28.40
03:July:2016:18:11:59	27.6875	27.5625	27.8750	38.30	28.40
03:July:2016:18:12:30	27.6875	27.4375	27.8750	38.30	28.40
03:July:2016:18:13:01	27.6250	27.3125	27.8125	36.60	28.40
03:July:2016:18:13:33	27.5625	27.3750	27.8750	35.70	28.40
03:July:2016:18:14:04	27.5625	27.3125	27.8125	36.40	28.40
03:July:2016:18:14:35	27.5625	27.3750	27.8125	36.50	28.40
03:July:2016:18:15:06	27.5625	27.4375	27.8125	36.80	28.30
03:July:2016:18:15:37	27.5625	27.3750	27.8125	36.90	28.30
03:July:2016:18:16:08	27.6250	27.4375	27.8125	37.00	28.30
03:July:2016:18:16:39	27.6250	27.4375	27.8125	37.40	28.30
03:July:2016:18:17:10	27.5000	27.3125	27.8125	37.20	28.30
03:July:2016:18:17:41	27.5000	27.2500	27.7500	36.20	28.30
03:July:2016:18:18:12	27.3750	27.1250	27.7500	35.80	28.30
03:July:2016:18:18:43	27.4375	27.2500	27.6875	35.90	28.30
03:July:2016:18:19:14	27.5000	27.2500	27.6875	36.40	28.30
03:July:2016:18:19:45	27.5000	27.3125	27.7500	34.30	28.30
03:July:2016:18:20:16	27.3125	27.1875	27.6250	36.40	28.20
03:July:2016:18:20:47	27.3125	27.2500	27.6250	35.20	28.20
03:July:2016:18:21:18	27.3125	27.2500	27.5625	36.30	28.20
03:July:2016:18:21:49	27.3125	27.2500	27.5625	36.20	28.20
03:July:2016:18:22:20	27.2500	27.1875	27.5625	36.80	28.10
03:July:2016:18:22:51	27.2500	27.0625	27.5625	36.40	28.20
03:July:2016:18:23:22	27.1875	27.0625	27.5000	35.70	28.10
03:July:2016:18:23:53	27.1875	26.9375	27.5000	34.70	28.10
03:July:2016:18:24:24	27.1875	27.0000	27.5000	35.70	28.00
03:July:2016:18:24:56	27.1875	27.0000	27.4375	36.60	28.00
03:July:2016:18:25:27	27.1250	26.8750	27.5000	37.00	28.00
03:July:2016:18:25:58	27.1250	26.8750	27.4375	36.70	28.00
03:July:2016:18:26:29	27.0625	27.0000	27.5000	37.00	27.90
03:July:2016:18:27:00	27.0000	26.9375	27.4375	36.80	27.90
03:July:2016:18:27:31	27.0000	26.9375	27.3750	36.20	27.90
03:July:2016:18:28:02	27.0000	26.9375	27.3750	36.90	27.90
