date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DHT22_hum	DHT22_temp
06:July:2016:19:55:15	40.4375	35.8750	36.1875	53.50	30.70
06:July:2016:19:55:46	40.5000	35.8750	36.2500	54.30	30.70
06:July:2016:19:56:17	40.5625	35.8750	36.1250	53.40	30.70
06:July:2016:19:56:48	40.5000	35.8125	36.0625	53.80	30.60
06:July:2016:19:57:19	40.3125	35.8125	35.8750	53.70	30.60
06:July:2016:19:57:50	40.6875	35.8125	35.9375	53.50	30.60
06:July:2016:19:58:21	41.0000	35.8125	35.8125	52.70	30.50
06:July:2016:19:58:52	41.2500	35.8125	36.1250	53.30	30.50
06:July:2016:19:59:23	41.1875	35.8125	36.3125	55.00	30.50
06:July:2016:19:59:55	41.1875	35.5625	36.1875	55.00	30.40
06:July:2016:20:00:26	41.1875	35.6250	36.0000	54.30	30.40
06:July:2016:20:00:57	41.5000	35.6875	36.3125	54.30	30.40
06:July:2016:20:01:28	41.6250	35.7500	36.6250	54.50	30.30
06:July:2016:20:01:59	41.8750	35.6875	36.9375	54.40	30.30
06:July:2016:20:02:30	41.9375	35.6875	36.7500	55.10	30.30
06:July:2016:20:03:01	41.7500	35.6250	36.6875	61.30	30.30
06:July:2016:20:03:32	41.6875	35.6875	36.4375	55.80	30.20
06:July:2016:20:04:03	41.8125	35.6250	36.3125	56.90	30.20
06:July:2016:20:04:34	41.6250	35.6250	36.1875	56.70	30.20
06:July:2016:20:05:05	41.3750	35.6875	35.9375	54.80	30.20
06:July:2016:20:05:36	41.0625	35.6875	35.8750	54.80	30.20
06:July:2016:20:06:07	40.6875	35.6875	35.7500	54.80	30.20
06:July:2016:20:06:38	40.8125	35.6875	36.3750	54.80	30.10
06:July:2016:20:07:09	40.9375	35.6875	36.9375	54.80	30.10
06:July:2016:20:07:40	41.1875	35.6250	37.6250	54.50	30.10
06:July:2016:20:08:11	41.5000	35.6875	37.6875	54.60	30.00
06:July:2016:20:08:42	41.7500	35.6875	37.7500	54.40	30.00
06:July:2016:20:09:13	41.8125	35.6875	37.6875	54.60	29.90
06:July:2016:20:09:45	41.8125	35.6875	37.6250	54.60	29.90
06:July:2016:20:10:16	41.6875	35.7500	37.2500	54.50	29.80
06:July:2016:20:10:47	41.7500	35.6875	37.1875	54.20	29.80
06:July:2016:20:11:18	41.8750	35.6875	37.2500	54.50	29.80
06:July:2016:20:11:49	41.8750	35.6875	37.3750	54.90	29.70
06:July:2016:20:12:56	41.6250	35.6250	37.2500	54.50	29.70
06:July:2016:20:13:27	41.3125	35.6875	36.7500	54.30	29.60
06:July:2016:20:13:58	41.8125	35.6250	36.8125	54.40	29.60
06:July:2016:20:14:29	42.1875	35.6250	36.7500	53.70	29.50
06:July:2016:20:15:00	42.1875	35.5625	36.5625	54.30	29.50
06:July:2016:20:15:31	42.1250	35.6250	36.4375	55.00	29.40
06:July:2016:20:16:02	42.2500	35.6250	36.2500	55.30	29.40
06:July:2016:20:16:33	42.0625	35.6250	36.1875	55.30	29.30
06:July:2016:20:17:04	41.8125	35.6875	36.1250	52.90	29.30
06:July:2016:20:17:35	41.7500	35.6875	35.9375	52.50	29.30
06:July:2016:20:18:06	41.8750	35.6875	35.8750	53.80	29.20
06:July:2016:20:18:37	41.8750	35.6875	35.7500	53.10	29.20
06:July:2016:20:19:08	42.0000	35.5000	35.4375	54.10	29.20
06:July:2016:20:19:39	42.0000	35.5625	35.1875	54.70	29.30
06:July:2016:20:20:10	41.8750	35.4375	35.3750	55.10	29.20
06:July:2016:20:20:41	41.6875	35.4375	35.6250	54.70	29.20
06:July:2016:20:21:13	41.5000	35.5000	35.7500	55.50	29.20
06:July:2016:20:21:44	41.5000	35.5625	35.8750	58.50	29.20
06:July:2016:20:22:15	41.5625	35.6250	35.6250	58.90	29.20
06:July:2016:20:22:46	42.0625	35.6250	35.3750	61.30	29.20
06:July:2016:20:23:17	42.3125	35.6250	35.4375	57.20	29.20
06:July:2016:20:23:48	42.4375	35.6250	35.6250	58.90	29.20
06:July:2016:20:24:19	42.3125	35.6875	35.8125	56.30	29.20
06:July:2016:20:24:50	42.3125	35.6875	36.1875	56.10	29.10
06:July:2016:20:25:21	42.1875	35.6875	36.3125	55.60	29.10
06:July:2016:20:25:52	42.0625	35.6875	36.3125	55.60	29.10
06:July:2016:20:26:23	41.8750	35.6875	36.9375	55.80	29.10
06:July:2016:20:26:54	41.4375	35.6875	37.2500	55.50	29.00
06:July:2016:20:27:25	41.1875	35.6250	37.1875	55.80	28.90
06:July:2016:20:27:56	41.1875	35.6875	37.1875	56.60	28.90
06:July:2016:20:28:27	41.1250	35.6250	37.1250	56.10	28.80
06:July:2016:20:28:58	41.2500	35.5625	37.0625	56.30	28.80
06:July:2016:20:29:29	41.1250	35.5625	36.9375	55.90	28.80
06:July:2016:20:30:00	40.9375	35.5625	36.8125	55.80	28.80
06:July:2016:20:30:31	40.7500	35.5000	36.6875	56.40	28.80
06:July:2016:20:31:02	40.7500	35.4375	36.3125	56.30	28.70
06:July:2016:20:31:33	40.7500	35.4375	36.5625	56.00	28.70
06:July:2016:20:32:05	40.6875	35.4375	36.8125	56.00	28.70
06:July:2016:20:32:36	40.8125	35.5000	36.9375	56.30	28.70
06:July:2016:20:33:07	41.0000	35.5000	37.3125	56.70	28.70
06:July:2016:20:33:38	41.0625	35.5000	37.6250	56.40	28.70
06:July:2016:20:34:09	40.9375	35.5625	37.6250	55.80	28.70
06:July:2016:20:34:40	40.8750	35.5625	37.5000	55.70	28.70
06:July:2016:20:35:11	40.5625	35.6250	37.2500	55.10	28.60
06:July:2016:20:35:42	40.3125	35.6250	37.1250	56.20	28.50
06:July:2016:20:36:13	40.2500	35.6250	37.0625	56.30	28.50
06:July:2016:20:36:44	40.1875	35.5625	36.8750	55.90	28.50
06:July:2016:20:37:15	39.9375	35.5625	36.8750	55.70	28.50
06:July:2016:20:37:46	39.5000	35.5625	36.8750	56.00	28.40
06:July:2016:20:38:17	39.4375	35.5625	36.8125	56.20	28.40
06:July:2016:20:38:48	39.1875	35.6250	36.5000	55.10	28.40
06:July:2016:20:39:19	39.1250	35.5625	36.3125	57.00	28.30
06:July:2016:20:39:50	39.0000	35.5625	36.0000	55.60	28.30
06:July:2016:20:40:21	39.0000	35.5625	35.8125	55.70	28.30
06:July:2016:20:40:52	39.5000	35.5000	36.3750	56.20	28.20
06:July:2016:20:41:23	40.0000	35.5000	36.7500	56.00	28.20
06:July:2016:20:41:55	40.3125	35.5625	36.6875	56.30	28.30
06:July:2016:20:42:26	40.6250	35.6250	36.7500	56.10	28.20
06:July:2016:20:42:57	41.1875	35.6250	36.6875	56.20	28.20
06:July:2016:20:43:28	41.5000	35.6250	36.6250	55.80	28.20
06:July:2016:20:43:59	41.7500	35.6875	36.5000	56.10	28.20
06:July:2016:20:44:30	41.8125	35.6875	36.5625	56.90	28.20
06:July:2016:20:45:01	41.7500	35.6875	36.6875	57.00	28.10
06:July:2016:20:45:32	41.6875	35.5625	36.6875	56.10	28.10
06:July:2016:20:46:03	41.7500	35.6875	36.4375	57.00	28.00
06:July:2016:20:46:34	41.8125	35.6875	36.5000	56.70	28.00
06:July:2016:20:47:05	42.1250	35.6250	36.1875	56.90	28.00
06:July:2016:20:47:36	42.1875	35.6250	35.8750	57.10	27.90
06:July:2016:20:48:07	42.1250	35.6250	35.8750	58.00	27.90
06:July:2016:20:48:38	42.0625	35.5625	35.8750	58.40	27.90
06:July:2016:20:49:09	41.9375	35.5000	35.5625	56.60	28.00
06:July:2016:20:49:40	41.6250	35.5000	35.5625	56.10	27.90
06:July:2016:20:50:11	41.4375	35.5000	35.4375	56.30	27.90
06:July:2016:20:50:42	41.2500	35.5000	35.5625	57.10	27.90
06:July:2016:20:51:13	41.1875	35.5000	35.4375	57.50	27.90
06:July:2016:20:51:44	41.1875	35.5625	35.3125	56.90	27.90
06:July:2016:20:52:16	41.0625	35.5000	35.1250	57.80	27.90
06:July:2016:20:52:47	41.0000	35.5000	35.1875	58.30	27.80
06:July:2016:20:53:18	40.9375	35.5000	35.1250	58.20	27.90
06:July:2016:20:53:49	40.8125	35.5000	35.3750	59.30	27.90
06:July:2016:20:54:20	40.9375	35.5625	35.5625	59.00	27.90
06:July:2016:20:54:51	41.2500	35.5000	35.5000	64.00	27.90
06:July:2016:20:55:22	41.3750	35.5000	35.8125	64.60	28.00
06:July:2016:20:55:53	41.4375	35.4375	35.8750	61.50	28.00
06:July:2016:20:56:24	41.5625	35.5000	35.6250	56.70	28.00
06:July:2016:20:56:55	41.3125	35.5625	35.5000	60.80	28.00
06:July:2016:20:57:26	41.1250	35.5000	35.3125	65.80	28.20
06:July:2016:20:57:57	41.1250	35.5625	35.1875	65.10	28.30
06:July:2016:20:58:28	41.0625	35.5625	35.1875	64.70	28.30
06:July:2016:20:58:59	41.1250	35.5625	35.2500	66.10	28.40
06:July:2016:20:59:30	41.3750	35.5000	35.5625	64.10	28.30
06:July:2016:21:00:01	41.8125	35.5625	35.8125	57.80	28.30
06:July:2016:21:00:32	42.0625	35.5625	36.1875	60.50	28.20
06:July:2016:21:01:03	42.3750	35.5000	36.5000	60.90	28.20
06:July:2016:21:01:34	42.3125	35.5000	36.5000	59.00	28.20
06:July:2016:21:02:05	42.3125	35.5000	36.3750	57.90	28.10
06:July:2016:21:02:37	42.3750	35.5000	36.8125	57.40	28.10
06:July:2016:21:03:08	42.3750	35.4375	36.9375	58.10	28.00
06:July:2016:21:03:39	42.3750	35.5000	37.0000	57.80	28.00
06:July:2016:21:04:10	42.3750	35.5000	37.1250	57.40	27.90
06:July:2016:21:04:41	42.2500	35.4375	37.3125	58.00	27.90
06:July:2016:21:05:12	42.4375	35.4375	37.2500	57.70	27.90
06:July:2016:21:05:43	42.3125	35.5000	37.4375	59.30	27.90
06:July:2016:21:06:14	42.2500	35.5000	37.4375	58.40	27.90
06:July:2016:21:06:45	42.0625	35.5000	37.2500	58.70	27.90
06:July:2016:21:07:16	41.7500	35.5625	37.0625	57.00	27.90
06:July:2016:21:07:47	41.5000	35.5625	37.0625	56.40	27.80
06:July:2016:21:08:18	41.3125	35.5625	36.9375	57.80	27.80
06:July:2016:21:08:49	41.1250	35.6250	36.9375	58.60	27.80
06:July:2016:21:09:20	41.1875	35.6250	37.0000	58.60	27.80
06:July:2016:21:09:51	41.1250	35.6250	37.1250	58.60	27.80
06:July:2016:21:10:22	40.8750	35.6250	36.8750	59.00	27.80
06:July:2016:21:10:53	40.5000	35.6250	36.5625	58.80	27.80
06:July:2016:21:11:24	40.1875	35.6250	36.5000	58.70	27.80
06:July:2016:21:11:55	39.9375	35.5625	36.1875	59.10	27.80
06:July:2016:21:12:26	39.6250	35.6250	36.0625	59.30	27.80
06:July:2016:21:12:58	39.6250	35.5625	36.0000	58.70	27.70
06:July:2016:21:13:29	40.1875	35.5625	35.6875	59.10	27.80
06:July:2016:21:14:00	40.6875	35.5625	35.3125	59.20	27.80
06:July:2016:21:14:31	40.9375	35.5625	35.1250	58.30	27.80
